date,gym,room,machine,machineId,set,weight,reps,duration,level,incline,hr,notes
2026-08-03,Admirals Cove,Machines,Arm Extension,m1785618661120,2,55,10,,,,,
2026-08-03,Admirals Cove,Machines,Arm Extension,m1785618661120,3,75,10,,,,,
2026-08-03,Admirals Cove,Machines,Arm Extension,m1785618661120,4,95,10,,,,,
2026-08-03,Common Machines,Free Weights,Overhead Tricep Extension,overhead-tricep-extension,1,25,10,,,,,
2026-08-03,Common Machines,Free Weights,Overhead Tricep Extension,overhead-tricep-extension,2,30,10,,,,,
2026-08-03,Common Machines,Free Weights,Overhead Tricep Extension,overhead-tricep-extension,3,35,10,,,,,
2026-08-03,Common Machines,Free Weights,Overhead Tricep Extension,overhead-tricep-extension,4,40,10,,,,,
2026-08-03,Common Machines,Free Weights,Standing Dumbbell Curl,standing-dumbbell-curl,1,15,10,,,,,
2026-08-03,Common Machines,Free Weights,Standing Dumbbell Curl,standing-dumbbell-curl,2,20,10,,,,,
2026-08-03,Common Machines,Free Weights,Standing Dumbbell Curl,standing-dumbbell-curl,3,25,5,,,,,
2026-08-03,Admirals Cove,Machines,Decline Ab Bench Situps,m1785007780604,1,,20,,,,,2nd set was twisting
2026-08-03,Admirals Cove,Machines,Decline Ab Bench Situps,m1785007780604,2,,20,,,,,
2026-08-03,Admirals Cove,Machines,Decline Ab Bench Situps,m1785007780604,3,,20,,,,,
2026-08-03,Admirals Cove,Machines,Reverse Sit Ups,m1785177917318,1,,15,,,,,
2026-08-03,Admirals Cove,Machines,Reverse Sit Ups,m1785177917318,2,,20,,,,,
2026-08-03,Admirals Cove,Machines,Reverse Sit Ups,m1785177917318,3,,15,,,,,
2026-08-03,Admirals Cove,Aerobic Area,Climb (Stair Climber),m1785619527962,1,,,3,,1,,3 minutes on level 1 4 minutes on level 5 Heart rate was inconsistent between watch and machine
2026-08-03,Admirals Cove,Aerobic Area,Climb (Stair Climber),m1785619527962,2,,,4,,5,,
2026-08-03,Admirals Cove,Aerobic Area,Climb (Stair Climber),m1785619527962,3,,,,,,,
2026-08-03,Common Machines,Outdoor Activities,Walk,walk,1,,,56.38,3.33,,,
2026-08-02,Admirals Cove,Aerobic Area,Arm Bike,m1785619397049,1,,,3,,1,,Avg heart rate 156 Max heart rate 202
2026-08-02,Admirals Cove,Aerobic Area,Arm Bike,m1785619397049,2,,,2,,10,,
2026-08-02,Admirals Cove,Aerobic Area,Arm Bike,m1785619397049,3,,,2,,15,,
2026-08-02,Admirals Cove,Machines,Leg Extension,m1785005305369,1,35,10,,,,,
2026-08-02,Admirals Cove,Machines,Leg Extension,m1785005305369,2,45,12,,,,,
2026-08-02,Admirals Cove,Machines,Leg Extension,m1785005305369,3,55,10,,,,,
2026-08-02,Admirals Cove,Machines,Leg Extension,m1785005305369,4,65,12,,,,,
2026-08-02,Admirals Cove,Machines,Leg Curl,m1785701695686,1,20,10,,,,,Seat at 3  lever at 8
2026-08-02,Admirals Cove,Machines,Leg Curl,m1785701695686,2,30,10,,,,,
2026-08-02,Admirals Cove,Machines,Leg Curl,m1785701695686,3,40,10,,,,,
2026-08-02,Admirals Cove,Machines,Leg Press,m1785005256712,1,80,15,,,,,3 positions
2026-08-02,Admirals Cove,Machines,Leg Press,m1785005256712,2,100,10,,,,,
2026-08-02,Admirals Cove,Machines,Leg Press,m1785005256712,3,120,10,,,,,
2026-08-02,Admirals Cove,Machines,Adductor,m1785006115413,1,45,15,,,,,
2026-08-02,Admirals Cove,Machines,Adductor,m1785006115413,2,55,10,,,,,
2026-08-02,Admirals Cove,Machines,Adductor,m1785006115413,3,50,10,,,,,
2026-08-02,Admirals Cove,Machines,Abductor,m1785006086200,1,55,10,,,,,85 was too much. Not great form
2026-08-02,Admirals Cove,Machines,Abductor,m1785006086200,2,65,10,,,,,
2026-08-02,Admirals Cove,Machines,Abductor,m1785006086200,3,75,10,,,,,
2026-08-02,Admirals Cove,Machines,Abductor,m1785006086200,4,85,10,,,,,
2026-08-02,Admirals Cove,Aerobic Area,Slat Belt Treadmill (electric),m1785619713315,1,,,4,3.3,,,
2026-08-02,Admirals Cove,Aerobic Area,Slat Belt Treadmill (electric),m1785619713315,2,,,4,3.3,15,,
2026-08-02,Admirals Cove,Aerobic Area,Slat Belt Treadmill (electric),m1785619713315,3,,,6,3.3,,,
2026-08-02,Admirals Cove,Aerobic Area,Slat Belt Treadmill (electric),m1785619713315,4,,,4,3.3,15,,
2026-08-01,Admirals Cove,Admirals Cove,Reverse Fly,m1785006624353,1,15,10,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Reverse Fly,m1785006624353,2,20,10,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Reverse Fly,m1785006624353,3,25,10,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Vertical Traction,m1785616487088,1,70,10,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Vertical Traction,m1785616487088,2,80,10,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Vertical Traction,m1785616487088,3,90,10,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Decline Ab Bench Situps,m1785007780604,1,,20,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Decline Ab Bench Situps,m1785007780604,2,,20,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Decline Ab Bench Situps,m1785007780604,3,,20,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Reverse Sit Ups,m1785177917318,1,,20,,,,,Was hurting a little at end of second set
2026-08-01,Admirals Cove,Admirals Cove,Reverse Sit Ups,m1785177917318,2,,20,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Pull Down,m1785618228257,1,70,10,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Pull Down,m1785618228257,2,90,10,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Pull Down,m1785618228257,3,110,10,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Skillmill (manual treadmill),m1785618032217,1,,1,,,,,This would be more of a timed machine  like a treadmill.  Not sure what to do with this.
2026-08-01,Admirals Cove,Admirals Cove,Hip Thrust,m1785618137870,1,,1,,,,,Couldn't figure out what to do with this machine.
2026-08-01,Admirals Cove,Admirals Cove,Arm Extension,m1785618661120,1,30,20,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Arm Extension,m1785618661120,2,50,20,,,,,
2026-08-01,Admirals Cove,Admirals Cove,Arm Extension,m1785618661120,3,70,15,,,,,
2026-08-01,Admirals Cove,Machines,Cable Pulldown,m1785617007828,1,20,20,,,,,
2026-08-01,Admirals Cove,Machines,Cable Pulldown,m1785617007828,2,35,15,,,,,
2026-08-01,Admirals Cove,Machines,Cable Pulldown,m1785617007828,3,50,10,,,,,
2026-08-01,Admirals Cove,Machines,Low row,m1785617676094,1,60,10,,,,,
2026-08-01,Admirals Cove,Machines,Low row,m1785617676094,2,70,10,,,,,
2026-08-01,Admirals Cove,Machines,Low row,m1785617676094,3,80,10,,,,,
2026-08-01,Common Machines,Bodyweight — No Equipment,High Planks,high-planks,1,,40,,,,,Reps = seconds
2026-08-01,Common Machines,Bodyweight — No Equipment,Elbow Planks,elbow-planks,1,,30,,,,,Reps = seconds
2026-08-01,Common Machines,Bodyweight — No Equipment,Elbow Planks,elbow-planks,2,,40,,,,,
2026-08-01,Common Machines,Bodyweight — Light Equipment,Pull-ups,pull-ups,1,,5,,,,,
2026-08-01,Common Machines,Bodyweight — Light Equipment,Pull-ups,pull-ups,2,,3,,,,,
2026-07-31,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,1,65,10,,,,,3 positions each: high center  high wide  and low center
2026-07-31,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,2,80,10,,,,,
2026-07-31,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,3,95,10,,,,,
2026-07-31,Portofino Gym,Machines Room,Seated Leg Extension Machine,pm05,1,45,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Seated Leg Extension Machine,pm05,2,65,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Seated Leg Extension Machine,pm05,3,90,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Seated Chest Press Machine,pm03,1,60,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Seated Chest Press Machine,pm03,2,85,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Seated Chest Press Machine,pm03,3,95,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Seated Leg Curl Machine,pm06,1,50,10,,,,,65 was a lot
2026-07-31,Portofino Gym,Machines Room,Seated Leg Curl Machine,pm06,2,55,10,,,,,
2026-07-31,Portofino Gym,Machines Room,Seated Leg Curl Machine,pm06,3,65,8,,,,,
2026-07-31,Portofino Gym,Machines Room,Seated Leg Curl Machine,pm06,4,35,5,,,,,
2026-07-31,Portofino Gym,Machines Room,Hip Abduction Machine,pm11,1,70,10,,,,,Felt fine
2026-07-31,Portofino Gym,Machines Room,Hip Abduction Machine,pm11,2,100,10,,,,,
2026-07-31,Portofino Gym,Machines Room,Hip Abduction Machine,pm11,3,130,10,,,,,
2026-07-31,Portofino Gym,Machines Room,Hip Abduction Machine,pm11,4,145,10,,,,,
2026-07-31,Portofino Gym,Machines Room,Hip Adduction Machine,pm12,1,90,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Hip Adduction Machine,pm12,2,120,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Hip Adduction Machine,pm12,3,150,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Glute Isolator,pm14,1,65,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Glute Isolator,pm14,2,85,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Glute Isolator,pm14,3,105,15,,,,,
2026-07-31,Portofino Gym,Machines Room,Adjustable Decline Abdominal Bench,pm01,1,,20,,,,,
2026-07-31,Portofino Gym,Machines Room,Adjustable Decline Abdominal Bench,pm01,2,,20,,,,,
2026-07-31,Portofino Gym,Machines Room,Adjustable Decline Abdominal Bench,pm01,3,,20,,,,,
2026-07-31,Portofino Gym,Weight Room,Plate-Loaded Seated Calf Raise,pw08,1,15,15,,,,,
2026-07-31,Portofino Gym,Weight Room,Plate-Loaded Seated Calf Raise,pw08,2,20,15,,,,,
2026-07-31,Portofino Gym,Weight Room,Plate-Loaded Seated Calf Raise,pw08,3,25,15,,,,,
2026-07-31,Portofino Gym,Aerobic Room,Norwegian 4x4,m1783607463121,1,,,5,3.3,0,80,
2026-07-31,Portofino Gym,Aerobic Room,Norwegian 4x4,m1783607463121,2,,,4,3.3,15,140,
2026-07-31,Portofino Gym,Aerobic Room,Norwegian 4x4,m1783607463121,3,,,4,3.5,0,95,
2026-07-31,Portofino Gym,Aerobic Room,Norwegian 4x4,m1783607463121,4,,,4,3.5,15,150,
2026-07-31,Portofino Gym,Aerobic Room,Norwegian 4x4,m1783607463121,5,,,4,3.5,0,100,
2026-07-31,Portofino Gym,Aerobic Room,Norwegian 4x4,m1783607463121,6,,,4,3.5,15,155,
2026-07-31,Portofino Gym,Aerobic Room,Norwegian 4x4,m1783607463121,7,,,4,3.5,0,105,
2026-07-31,Portofino Gym,Aerobic Room,Norwegian 4x4,m1783607463121,8,,,3,3.5,15,155,
2026-07-30,Portofino Gym,Aerobic Room,Treadmill,pa05,1,,,5,3.3,0,86,
2026-07-30,Portofino Gym,Aerobic Room,Treadmill,pa05,2,,,5,3.5,0,91,
2026-07-30,Portofino Gym,Aerobic Room,Treadmill,pa05,3,,,5,3.7,0,96,
2026-07-30,Portofino Gym,Aerobic Room,Treadmill,pa05,4,,,5,3.9,0,101,
2026-07-30,Portofino Gym,Machines Room,Seated Row Machine,pm02,1,60,15,,,,,
2026-07-30,Portofino Gym,Machines Room,Seated Row Machine,pm02,2,80,12,,,,,
2026-07-30,Portofino Gym,Machines Room,Seated Row Machine,pm02,3,105,10,,,,,
2026-07-30,Portofino Gym,Machines Room,Seated Row Machine,pm02,4,120,10,,,,,
2026-07-30,Portofino Gym,Weight Room,Lat Pulldown Machine,pw02,1,50,15,,,,,
2026-07-30,Portofino Gym,Weight Room,Lat Pulldown Machine,pw02,2,65,12,,,,,
2026-07-30,Portofino Gym,Weight Room,Lat Pulldown Machine,pw02,3,80,10,,,,,
2026-07-30,Portofino Gym,Weight Room,Lat Pulldown Machine,pw02,4,95,10,,,,,
2026-07-30,Portofino Gym,Machines Room,Seated Biceps Curl Machine,pm10,1,40,12,,,,,The geometry of this machine is uncomfortable and I would prefer to use the seated preacher than this machine.
2026-07-30,Portofino Gym,Machines Room,Seated Biceps Curl Machine,pm10,2,55,12,,,,,
2026-07-30,Portofino Gym,Machines Room,Seated Biceps Curl Machine,pm10,3,70,4,,,,,
2026-07-30,Portofino Gym,Machines Room,Seated Biceps Curl Machine,pm10,4,,,,,,,
2026-07-30,Portofino Gym,Machines Room,Seated Shoulder Press,pm08,1,30,12,,,,,Keep hands in vertical position
2026-07-30,Portofino Gym,Machines Room,Seated Shoulder Press,pm08,2,45,10,,,,,
2026-07-30,Portofino Gym,Machines Room,Seated Shoulder Press,pm08,3,60,10,,,,,
2026-07-27,Admirals Cove,,Leg Press,m1785005256712,1,80,10,,,,,Three positions each
2026-07-27,Admirals Cove,,Leg Press,m1785005256712,2,100,10,,,,,
2026-07-27,Admirals Cove,,Leg Press,m1785005256712,3,120,10,,,,,
2026-07-27,Admirals Cove,,Leg Extension,m1785005305369,1,30,10,,,,,Seat in position 3 selector on 3. Lower bar on 2
2026-07-27,Admirals Cove,,Leg Extension,m1785005305369,2,40,10,,,,,
2026-07-27,Admirals Cove,,Leg Extension,m1785005305369,3,50,10,,,,,
2026-07-27,Admirals Cove,,Leg Extension,m1785005305369,4,60,10,,,,,
2026-07-27,Admirals Cove,,Abductor,m1785006086200,1,50,10,,,,,Lever in position 2. I did ten at 80 but was difficult
2026-07-27,Admirals Cove,,Abductor,m1785006086200,2,60,10,,,,,
2026-07-27,Admirals Cove,,Abductor,m1785006086200,3,70,10,,,,,
2026-07-27,Admirals Cove,,Abductor,m1785006086200,4,80,10,,,,,
2026-07-27,Admirals Cove,,Adductor,m1785006115413,1,35,15,,,,,Lever in position 4
2026-07-27,Admirals Cove,,Adductor,m1785006115413,2,45,10,,,,,
2026-07-27,Admirals Cove,,Adductor,m1785006115413,3,55,10,,,,,
2026-07-27,Admirals Cove,,Decline Ab Bench Situps,m1785007780604,1,,20,,,,,
2026-07-27,Admirals Cove,,Decline Ab Bench Situps,m1785007780604,2,,20,,,,,
2026-07-27,Admirals Cove,,Decline Ab Bench Situps,m1785007780604,3,,20,,,,,
2026-07-27,Admirals Cove,,Reverse Sit Ups,m1785177917318,1,,20,,,,,
2026-07-27,Admirals Cove,,Reverse Sit Ups,m1785177917318,2,,20,,,,,
2026-07-27,Admirals Cove,,Chest press,m1785006554823,1,50,10,,,,,
2026-07-27,Admirals Cove,,Chest press,m1785006554823,2,70,10,,,,,
2026-07-27,Admirals Cove,,Chest press,m1785006554823,3,90,10,,,,,
2026-07-27,Admirals Cove,,Chest press,m1785006554823,4,110,10,,,,,
2026-07-27,Admirals Cove,,Reverse Fly,m1785006624353,1,20,6,,,,,Difficult. May be in kg
2026-07-27,Admirals Cove,,Pec Fly,m1785006589359,1,30,10,,,,,May be in kg
2026-07-27,Admirals Cove,,Pec Fly,m1785006589359,2,40,10,,,,,
2026-07-27,Admirals Cove,,Pec Fly,m1785006589359,3,45,8,,,,,
2026-07-27,Portofino Gym,Aerobic Room,Treadmill,pa05,1,,,,,,,
2026-07-26,Outdoor Aerobics,,Walk,m1782186709718,1,,,,,,,
2026-07-25,Admirals Cove,,Leg Press,m1785005256712,1,80,10,,,,,Three positions at 80 and three positions at 120
2026-07-25,Admirals Cove,,Leg Press,m1785005256712,2,120,10,,,,,
2026-07-25,Admirals Cove,,Leg Extension,m1785005305369,1,40,10,,,,,
2026-07-25,Admirals Cove,,Leg Extension,m1785005305369,2,50,10,,,,,
2026-07-25,Admirals Cove,,Leg Extension,m1785005305369,3,60,10,,,,,
2026-07-25,Admirals Cove,,Abductor,m1785006086200,1,50,10,,,,,
2026-07-25,Admirals Cove,,Abductor,m1785006086200,2,70,10,,,,,
2026-07-25,Admirals Cove,,Abductor,m1785006086200,3,70,10,,,,,
2026-07-25,Admirals Cove,,Adductor,m1785006115413,1,30,10,,,,,
2026-07-25,Admirals Cove,,Adductor,m1785006115413,2,40,10,,,,,
2026-07-25,Admirals Cove,,Adductor,m1785006115413,3,50,10,,,,,
2026-07-25,Body Weight Exercises,,Pullups,m1785006392732,1,,5,,,,,Hands in vertical orientation
2026-07-25,Body Weight Exercises,,Pullups,m1785006392732,2,,5,,,,,
2026-07-25,Admirals Cove,,Chest press,m1785006554823,1,50,10,,,,,
2026-07-25,Admirals Cove,,Chest press,m1785006554823,2,70,10,,,,,
2026-07-25,Admirals Cove,,Chest press,m1785006554823,3,90,10,,,,,
2026-07-25,Admirals Cove,,Chest press,m1785006554823,4,110,8,,,,,
2026-07-25,Admirals Cove,,Pec Fly,m1785006589359,1,30,10,,,,,The units might be metric. The same weight was much harder than Portofino's machine
2026-07-25,Admirals Cove,,Pec Fly,m1785006589359,2,40,10,,,,,
2026-07-25,Admirals Cove,,Decline Ab Bench Situps,m1785007780604,1,,20,,,,,
2026-07-25,Admirals Cove,,Decline Ab Bench Situps,m1785007780604,2,,20,,,,,
2026-07-25,Admirals Cove,,Decline Ab Bench Situps,m1785007780604,3,,20,,,,,
2026-07-23,Outdoor Aerobics,,Walk,m1782186709718,1,,,,,,,100 avg bpm
2026-07-22,Outdoor Aerobics,,Walk,m1782186709718,1,,,,,,,91 avg bpm
2026-07-19,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,1,60,15,,,,,Slow
2026-07-19,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,2,60,15,,,,,
2026-07-19,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,3,60,15,,,,,
2026-07-19,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,4,75,15,,,,,
2026-07-19,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,5,75,15,,,,,
2026-07-19,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,6,75,15,,,,,
2026-07-19,Portofino Gym,Machines Room,Seated Chest Press Machine,pm03,1,55,15,,,,,
2026-07-19,Portofino Gym,Machines Room,Seated Chest Press Machine,pm03,2,80,15,,,,,
2026-07-19,Portofino Gym,Machines Room,Seated Chest Press Machine,pm03,3,90,10,,,,,
2026-07-19,Portofino Gym,Machines Room,Seated Leg Extension Machine,pm05,1,45,15,,,,,
2026-07-19,Portofino Gym,Machines Room,Seated Leg Extension Machine,pm05,2,60,15,,,,,
2026-07-19,Portofino Gym,Machines Room,Seated Leg Extension Machine,pm05,3,85,15,,,,,
2026-07-19,Portofino Gym,Machines Room,Functional Trainer (Cable Crossover),pm09,1,60,10,,,,,
2026-07-19,Portofino Gym,Machines Room,Functional Trainer (Cable Crossover),pm09,2,80,10,,,,,
2026-07-19,Portofino Gym,Machines Room,Functional Trainer (Cable Crossover),pm09,3,110,10,,,,,
2026-07-19,Portofino Gym,Machines Room,Seated Abdominal Crunch Machine,pm13,1,40,15,,,,,
2026-07-19,Portofino Gym,Machines Room,Seated Abdominal Crunch Machine,pm13,2,55,15,,,,,
2026-07-19,Portofino Gym,Machines Room,Seated Abdominal Crunch Machine,pm13,3,70,15,,,,,
2026-07-19,Portofino Gym,Machines Room,Seated Abdominal Crunch Machine,pm13,4,85,15,,,,,
2026-07-19,Portofino Gym,Machines Room,Seated Abdominal Crunch Machine,pm13,5,100,15,,,,,
2026-07-19,Outdoor Aerobics,,Walk,m1782186709718,1,,,,,,,
2026-07-17,Outdoor Aerobics,,Walk,m1782186709718,1,,,,,,,Also did about 15 minutes before I started recording
2026-07-16,Outdoor Aerobics,,Walk,m1782186709718,1,,,,,,,
2026-07-15,Outdoor Aerobics,,Walk,m1782186709718,1,,,,,,,
2026-07-14,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,1,60,10,,,,,
2026-07-14,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,2,60,10,,,,,
2026-07-14,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,3,60,10,,,,,
2026-07-14,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,4,70,10,,,,,
2026-07-14,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,5,70,10,,,,,
2026-07-14,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,6,70,10,,,,,
2026-07-14,Portofino Gym,Machines Room,Seated Leg Curl Machine,pm06,1,50,10,,,,,
2026-07-14,Portofino Gym,Machines Room,Seated Leg Curl Machine,pm06,2,55,10,,,,,
2026-07-14,Portofino Gym,Machines Room,Seated Leg Curl Machine,pm06,3,60,10,,,,,
2026-07-14,Portofino Gym,Machines Room,Seated Leg Extension Machine,pm05,1,40,15,,,,,
2026-07-14,Portofino Gym,Machines Room,Seated Leg Extension Machine,pm05,2,60,15,,,,,
2026-07-14,Portofino Gym,Machines Room,Seated Leg Extension Machine,pm05,3,85,15,,,,,
2026-07-14,Portofino Gym,Machines Room,Hip Abduction Machine,pm11,1,55,15,,,,,
2026-07-14,Portofino Gym,Machines Room,Hip Abduction Machine,pm11,2,85,15,,,,,
2026-07-14,Portofino Gym,Machines Room,Hip Abduction Machine,pm11,3,105,15,,,,,
2026-07-14,Portofino Gym,Machines Room,Hip Adduction Machine,pm12,1,60,15,,,,,At Rancho La Puerta
2026-07-14,Portofino Gym,Machines Room,Hip Adduction Machine,pm12,2,80,15,,,,,
2026-07-14,Portofino Gym,Machines Room,Hip Adduction Machine,pm12,3,100,15,,,,,
2026-07-14,Portofino Gym,Machines Room,Pec Fly,pm04,1,60,10,,,,,At Rancho La Puerta
2026-07-14,Portofino Gym,Machines Room,Pec Fly,pm04,2,75,10,,,,,
2026-07-14,Portofino Gym,Machines Room,Pec Fly,pm04,3,90,10,,,,,
2026-07-14,Portofino Gym,Machines Room,Rear Deltoid,m1782480059048,1,60,15,,,,,At Rancho La Puerta
2026-07-14,Portofino Gym,Machines Room,Rear Deltoid,m1782480059048,2,70,10,,,,,
2026-07-14,Portofino Gym,Machines Room,Glute Isolator,pm14,1,60,10,,,,,
2026-07-14,Portofino Gym,Machines Room,Glute Isolator,pm14,2,80,10,,,,,
2026-07-14,Portofino Gym,Machines Room,Glute Isolator,pm14,3,100,10,,,,,
2026-07-14,Portofino Gym,Aerobic Room,Norwegian 4x4,m1783607463121,1,,,,,,,
2026-07-14,Portofino Gym,Machines Room,Seated Chest Press Machine,pm03,1,50,15,,,,,At Rancho La Puerta
2026-07-14,Portofino Gym,Machines Room,Seated Chest Press Machine,pm03,2,80,15,,,,,
2026-07-14,Portofino Gym,Machines Room,Seated Chest Press Machine,pm03,3,90,15,,,,,
2026-07-09,Portofino Gym,Aerobic Room,Norwegian 4x4,m1783607463121,1,,,,,,,Hard
2026-07-09,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,1,60,10,,,,,Three positions
2026-07-09,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,2,60,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,3,60,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,4,70,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,5,70,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Seated Leg Press Machine,pw06,6,70,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Lat Pulldown Machine,pw02,1,40,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Lat Pulldown Machine,pw02,2,55,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Lat Pulldown Machine,pw02,3,70,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Lat Pulldown Machine,pw02,4,85,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Lat Pulldown Machine,pw02,5,100,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Seated Preacher Curl Bench,pw04,1,10,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Seated Preacher Curl Bench,pw04,2,15,10,,,,,
2026-07-09,Portofino Gym,Weight Room,Seated Preacher Curl Bench,pw04,3,20,10,,,,,
2026-07-09,Portofino Gym,Machines Room,Glute Isolator,pm14,1,60,10,,,,,
2026-07-09,Portofino Gym,Machines Room,Glute Isolator,pm14,2,80,10,,,,,
2026-07-09,Portofino Gym,Machines Room,Glute Isolator,pm14,3,100,10,,,,,
